"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-202733","Cell surface interactions at the vascular wall",103,0.658406320546167,1.83176878816157,1.68320954871371e-06,0.00023870971781758,0.000214065597152202,1974,"tags=33%, list=11%, signal=30%","5672/960/857/972/7040/4312/3635/4680/7056/3675/3676/3897/6404/1048/5673/10544/140885/634/2621/7010/9123/3655/6382/6385/2335/2817/1278/3690/8140/3678/3688/6464/2534/4973"
"R-HSA-1566948","Elastic fibre formation",41,0.772540785648362,1.88691495438077,2.72365116277983e-06,0.000344764053806753,0.000309171003717392,2253,"tags=63%, list=12%, signal=56%","3694/4237/2201/7040/2202/650/7042/8076/84034/4017/10516/2192/4053/3696/30008/652/8200/2335/2200/3690/3693/3678/3688/5045/4052/7043"
"R-HSA-1236975","Antigen processing-Cross presentation",86,0.674907310636961,1.84001691114499,2.87303378172294e-06,0.000344764053806753,0.000309171003717392,2895,"tags=29%, list=16%, signal=25%","6280/1535/9902/6279/3135/5696/7099/1520/7096/23643/4688/5698/7097/10333/3133/3105/3693/3106/3134/929/3107/6891/6892/3685/6890"
"R-HSA-877300","Interferon gamma signaling",81,0.683315564368675,1.84394108686576,3.21110589697932e-06,0.000357808942806267,0.000320869153164325,3121,"tags=48%, list=17%, signal=40%","960/163351/9021/4939/3135/117854/5724/23650/115361/3383/10346/2635/11074/4502/2633/3716/10437/8651/3115/53840/3133/3105/3659/3460/3664/4281/3106/3134/5371/6672/3107/5770/10379/3660/4940/51127/4938/3459/6737"
"R-HSA-6798695","Neutrophil degranulation",415,0.487479223759527,1.52513208406039,1.20126778939144e-05,0.0012493185009671,0.00112034027515875,3228,"tags=30%, list=17%, signal=25%","2950/718/978/6280/5328/960/302/1535/2919/3934/290/25797/1992/4680/6279/154664/4318/6947/6317/8972/6518/2352/5724/2171/5317/29108/3958/5646/79792/1520/4033/5329/5806/1794/6515/5337/9961/140885/340061/634/101/388698/3579/2934/5265/7097/966/272/23406/1265/1075/84329/12/2040/11010/1508/968/683/820/823/11031/2896/10326/201294/4973/51316/5836/8826/84766/1832/3106/929/51816/6793/6278/3916/10855/10577/8876/3107/6282/10487/317/2760/10555/80301/196527/6709/51719/89777/719/5908/1512/965/5315/2268/10097/3685/3728/6093/410/1727/51646/81619/2512/121260/64114/5611/961/116844/1522/10970/54918/100302736/967/10493/10312/126014/1471/353189/391/55754/5834"
"R-HSA-380108","Chemokine receptors bind chemokines",27,0.818209215088843,1.91012885153093,1.47933193356226e-05,0.00144234863522321,0.00129344219717385,1155,"tags=41%, list=6%, signal=38%","2919/6376/3576/2920/2921/6364/6372/6373/6374/56477/3579"
"R-HSA-75205","Dissolution of Fibrin Clot",13,0.908812160560772,1.83287161606235,1.83934912880941e-05,0.00159410257830149,0.00142952923519749,1097,"tags=77%, list=6%, signal=72%","5054/5328/302/5055/5327/5345/6281/5270/5329/5271"
"R-HSA-913531","Interferon Signaling",245,0.528256815474793,1.60381702584512,1.74507761524106e-05,0.00159410257830149,0.00142952923519749,3651,"tags=32%, list=20%, signal=26%","960/163351/9021/4939/54739/3135/6622/117854/5696/5724/23650/115361/3383/10346/402569/8877/3437/79861/2635/11074/4502/84617/9246/2633/3716/10437/8651/3115/53840/10381/3133/8519/2316/3105/3659/3433/1958/3460/3664/4281/3106/3134/24138/10410/7318/23586/5371/6672/3107/4599/10964/7846/5770/10379/4734/3839/3660/2317/4940/347733/51127/5611/4938/3430/3459/10561/6737/81603/5610/79023/3439/3309/567/7280/10581/684/5516/8638"
"R-HSA-3000178","ECM proteoglycans",55,0.718363655593317,1.84270841478236,2.09753784917151e-05,0.00172218897089872,0.00154439213382213,1922,"tags=53%, list=10%, signal=47%","5054/3694/1282/1462/7040/6678/3371/7042/2331/3908/1284/50509/3910/3909/3673/1288/3912/3339/1290/4148/2335/1278/4038/284217/3690/3693/3688/351/375790"
"R-HSA-2129379","Molecules associated with elastic fibres",34,0.787502213194568,1.8785036573908,3.22369104019051e-05,0.00239474191557009,0.00214751147489383,2253,"tags=68%, list=12%, signal=60%","3694/4237/2201/7040/2202/650/7042/8076/84034/10516/2192/4053/3696/30008/652/8200/2335/2200/3690/3693/3688/4052/7043"
"R-HSA-109582","Hemostasis",496,0.458184444598497,1.44112639795829,3.21296072058992e-05,0.00239474191557009,0.00214751147489383,3177,"tags=31%, list=17%, signal=26%","5054/2769/5672/7076/7424/2152/30846/5328/10630/960/857/4842/972/302/5055/7040/6546/4312/2625/3635/6678/5552/5880/4680/135228/55619/7056/7042/710/5327/2791/5345/3675/3676/7078/3897/6404/7057/1048/6281/5270/5329/5099/1794/3481/5673/79861/10544/140885/634/2621/1606/5271/6850/3673/7010/7114/9123/84617/23764/55083/3655/5026/5265/5154/5028/6382/1608/6385/9127/54331/2335/2817/1278/10381/12/1893/8654/11343/87/3690/2316/8140/3959/3659/3678/10411/3688/5321/351/54863/6464/147700/10938/2534/4973/23348/10184/2776/2771/7423/3273/11069/10335/7043/3672/2784/5593/3797/7422/80005/5155/3710/7102/160851/10487/54495/7846/5770/81/8407/51571/55614/5627/308/10447/3660/5908/965/6520/2149/60/2770/2268/3709/3685/347733/9564/9732/334/5336/961/55970/6714/6717/7094/10681/813/10019/2734/967/1277/7525"
"R-HSA-1474290","Collagen formation",77,0.652415893574318,1.75352253938258,3.4121960168615e-05,0.0024195571755927,0.00216976483560236,2568,"tags=52%, list=14%, signal=45%","1282/3918/1308/1295/169044/3914/3691/4318/7092/1303/85301/4017/1284/1520/10536/871/1296/50509/140766/1307/81578/667/3909/1294/1288/3655/1290/55214/1278/5339/1508/4316/649/26577/8974/7837/255631/80781/5352/1301"
"R-HSA-909733","Interferon alpha/beta signaling",62,0.679347127889241,1.79263576518538,4.99661311636653e-05,0.00331867797394849,0.00297606142198215,3651,"tags=52%, list=20%, signal=42%","9021/4939/54739/3135/5696/3437/3716/8651/3133/8519/3105/3659/3433/1958/3664/3106/3134/24138/10410/3107/4599/5770/10379/3660/4940/4938/3430/5610/3439/10581/684/8638"
"R-HSA-3000171","Non-integrin membrane-ECM interactions",72,0.662369924734184,1.77073580372373,5.19628029294802e-05,0.00331867797394849,0.00297606142198215,2568,"tags=56%, list=14%, signal=48%","1282/3918/7040/8910/3914/3371/3691/8082/3908/59277/1284/7057/50509/3910/3909/3673/1288/3912/3339/3655/5154/6382/1290/6385/2335/1278/1756/284217/87/3690/3693/3688/59/375790/780/5155/71/3911/2247/1301"
"R-HSA-1500931","Cell-Cell communication",130,0.58426789717752,1.67468761187976,5.31839418902001e-05,0.00331867797394849,0.00297606142198215,3059,"tags=44%, list=17%, signal=37%","3852/3918/1308/3861/8728/3914/1001/3691/9076/56978/5010/2533/6711/1009/1012/54549/51129/55243/54751/1000/140885/1002/667/3909/3655/10686/56288/5339/1006/7408/87/2316/84552/3688/10326/2534/5829/9839/221935/8826/5818/71/5819/81/6709/5817/55742/1499/1008/60/23562/64403/3728/961/6714/1003/8440"
"R-HSA-9660826","Purinergic signaling in leishmaniasis infection",24,0.809458061584444,1.83290910438311,5.81951017232029e-05,0.00336238365511839,0.00301525497817297,704,"tags=42%, list=4%, signal=40%","3552/718/3606/3553/834/4907/114548/29108/9051/79792"
"R-HSA-9664424","Cell recruitment (pro-inflammatory response)",24,0.809458061584444,1.83290910438311,5.81951017232029e-05,0.00336238365511839,0.00301525497817297,704,"tags=42%, list=4%, signal=40%","3552/718/3606/3553/834/4907/114548/29108/9051/79792"
"R-HSA-3000170","Syndecan interactions",27,0.79847646508289,1.86406227783397,6.3248656436849e-05,0.0035238537157673,0.00316005505280347,1823,"tags=59%, list=10%, signal=53%","7040/3371/3691/7057/50509/3673/3655/6382/1290/6385/2335/1278/87/3690/3693/3688"
"R-HSA-112315","Transmission across Chemical Synapses",209,-0.429107032114825,-1.52059587686222,6.66216619030838e-05,0.00358378595064864,0.00321379995169504,2169,"tags=26%, list=12%, signal=23%","1136/1741/2901/4646/2036/783/6539/3768/84254/3760/26960/27330/8536/8541/7915/4128/27165/27163/2786/9495/5567/1740/107/6854/10382/5864/51764/2562/89832/2788/9254/2567/10815/6506/22843/2905/2902/55799/2556/4137/113457/3765/116443/9256/8825/112714/3359/2558/1139/27092/8499/1135/22999/5577"
"R-HSA-446107","Type I hemidesmosome assembly",11,0.901352056711534,1.74605160958038,0.000101845768868059,0.00529597998113906,0.00474922901142632,1595,"tags=91%, list=9%, signal=83%","3852/3918/1308/3861/3914/3691/667/3909/3655/5339"
"R-HSA-3000157","Laminin interactions",30,0.759982883528761,1.79698620624774,0.000105753037021172,0.00532176573396865,0.0047723526723646,2458,"tags=73%, list=13%, signal=64%","1282/3918/4811/3914/3691/3908/3675/1284/3910/3909/1294/3673/1288/3912/3339/3655/284217/3688/22795/3672/80781/3911"
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures",52,0.701650217083644,1.77734826394575,0.000127655392847843,0.00622320040133232,0.00558072424653891,1757,"tags=50%, list=9%, signal=45%","1282/3918/1308/1295/3914/3691/4318/7092/1303/85301/4017/1284/1520/1296/50509/667/3909/1294/1288/3655/1290/1278/5339/1508/4316/649"
"R-HSA-8875878","MET promotes cell motility",39,0.725526221079741,1.76604754603359,0.000143294072337821,0.00677390160142427,0.00607457167901002,2667,"tags=59%, list=14%, signal=51%","3918/3914/4233/85301/3908/3675/84951/50509/3910/3909/3673/3912/1290/2335/1278/284217/3688/64759/255631/3911/1301/2549/5908"
"R-HSA-446728","Cell junction organization",100,0.612493794040545,1.69592462701412,0.000152241689458133,0.00698520692807902,0.00626406208327734,2844,"tags=44%, list=15%, signal=37%","3852/3918/1308/3861/8728/3914/1001/3691/9076/56978/5010/1009/1012/54549/51129/54751/1000/1002/667/3909/3655/10686/56288/5339/1006/7408/87/2316/84552/3688/5829/9839/221935/5818/71/5819/5817/55742/1499/1008/60/23562/64403/3728"
"R-HSA-9012999","RHO GTPase cycle",430,0.454585229345605,1.42358578107813,0.000175792350839608,0.0078353162088511,0.00702640704558914,4238,"tags=37%, list=23%, signal=30%","857/1535/222584/9938/2697/144402/4162/148170/10409/5880/397/347902/55619/85360/9644/6711/10395/9235/5058/390/56924/106821730/4810/5099/1794/4688/5337/64411/182/9590/1969/64283/667/7074/117289/284119/152273/57449/79834/57480/114793/4168/50650/83478/5924/9754/7171/23075/2040/221472/8654/57216/87/65124/3688/7431/23268/79180/64857/55704/10276/2245/23616/8826/11135/57514/23348/1832/9322/10160/6793/9138/9462/9411/10435/80005/5361/71/9181/116984/94240/93663/6709/57522/7456/26030/54438/1829/7126/6242/5783/9828/60/29984/23370/3728/6093/57579/27289/27/29766/5364/9732/9901/58504/6714/57584/55227/8440/22800/10970/2319/8874/391/55701/9414/10505/613/9748/10928/7204/3998/57572/10006/6510/653361/10979/26049/201176/644150/5290/1213/23513/23141/9341/9475/8976/50619/9639/9497/23344/57381/23221/90627/55968/7410/998/6654/23433/10152/81624/5062/7444/752/10787/7170/9886/6453/396/143098/50649"
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers",411,0.455274217690366,1.4246255566564,0.000224766376804176,0.00973987632818098,0.00873434253721492,3290,"tags=22%, list=18%, signal=19%","374/2069/7040/22943/3084/255324/5880/2250/9734/53335/7048/1848/10000/597/4233/6711/4909/27123/2099/2323/942/7039/182/2246/3667/1839/5154/23189/4088/627/161742/399473/84441/4254/7171/1956/8660/28514/2335/4478/3690/1849/64840/6464/2534/4000/8826/4008/5292/6868/3726/2263/5782/9542/4851/4627/5155/57534/71/2963/5925/685/2308/9715/2247/2280/200734/2549/388585/5908/1499/7046/1026/8496/50507/60/1051/83999/4170/55294/6714/7094/867/8546/54845/6238/8323/7525/391/54894/598/613"
"R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells",42,0.719414169761096,1.76716173267698,0.000239716004636228,0.0101069450603383,0.00906351550957459,1686,"tags=57%, list=9%, signal=52%","306/3872/7980/3918/3855/25984/972/302/3914/760/3170/301/3880/85301/3908/50509/3910/203111/3909/3912/1290/2335/1278/284217"
"R-HSA-1236974","ER-Phagosome pathway",76,0.631952939102674,1.69729924635516,0.000269133462534053,0.0110486368829769,0.00990798813594892,2895,"tags=25%, list=16%, signal=21%","6280/6279/3135/5696/7099/7096/23643/5698/7097/10333/3133/3105/3106/3134/929/3107/6891/6892/6890"
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",33,-0.705267167550159,-1.90480361423557,0.000344542276682423,0.01279728456249,0.0114761074113018,2760,"tags=36%, list=15%, signal=31%","8340/128312/55766/126961/333932/8349/8365/8341/5585/354/367/3817"
"R-HSA-5218859","Regulated Necrosis",56,0.669412178570848,1.72337742573518,0.000332085848762384,0.01279728456249,0.0114761074113018,3134,"tags=39%, list=17%, signal=33%","8626/3552/3606/3553/834/11035/79792/1687/355/3659/837/330/8743/197259/3660/578/57162/29082/8717/83737/2319/581"
"R-HSA-170834","Signaling by TGF-beta Receptor Complex",92,0.59742587937491,1.64813240929572,0.000325380672862835,0.01279728456249,0.0114761074113018,3589,"tags=36%, list=19%, signal=29%","5054/3694/7040/7042/7048/4053/3696/25937/4088/56288/1278/2200/1030/3690/3693/3688/5045/23645/64750/3726/4052/7043/57154/2280/7046/23370/3685/867/7050/892/8425/50848/7027"
"R-HSA-9679506","SARS-CoV Infections",382,0.459444795681336,1.43445845403877,0.000341620774930271,0.01279728456249,0.0114761074113018,3758,"tags=23%, list=20%, signal=18%","55107/857/834/121601/2810/2697/1901/11035/3135/10000/2908/114548/29108/3676/10610/7096/9111/56965/861/340061/6850/3339/7097/4088/6382/338440/3716/6385/2817/3133/3105/3688/5045/375790/3656/3718/3460/3106/3134/23586/256435/7422/3107/6483/81631/5925/4124/196527/974/100529261/2280/7533/29801/7991/2589/29082/54625/9871/5349/8829/6093/6885/5336/3459/83737/30011/27090/7841/4245/598/257397/79023/7534/1650/3439/567/4780/51652/684/10392/6223/79668/5289/9475/2931/4790"
"R-HSA-71291","Metabolism of amino acids and derivatives",325,-0.378656880235115,-1.38289816263259,0.000356040879851418,0.012916831920191,0.0115833128353129,2554,"tags=20%, list=14%, signal=18%","51065/64087/152926/1892/57407/3067/65263/635/445/200916/3712/6821/51380/26227/125061/2936/55256/256987/875/102724560/6123/5831/38/123688/6999/1629/89874/1468/130013/29958/6539/262/51686/51166/27165/4329/56922/2593/10003/36/51268/112817/8528/339983/1152/55349/51151/4143/27232/189/10841/1428/1733/57571/3242/2875/7173/1735/140801/383/2346/3081/80150/284716/389434/1644"
"R-HSA-9692914","SARS-CoV-1-host interactions",92,0.593508617922082,1.63732577071681,0.000424541658775951,0.0150519315384201,0.0134979871893119,4657,"tags=30%, list=25%, signal=23%","857/834/2810/11035/114548/29108/9111/861/340061/4088/3656/23586/2280/7533/83737/598/7534/684/6223/4790/7189/6192/8737/4089/10971/7316/11123/7529"
"R-HSA-9696273","RND1 GTPase cycle",40,0.709643491192013,1.73145200005758,0.000449186259741781,0.015099189654378,0.0135403664309503,3102,"tags=40%, list=17%, signal=33%","857/222584/1969/667/57449/57216/55704/1832/9462/5361/94240/5783/57579/27289/22800/2319"
"R-HSA-1474228","Degradation of the extracellular matrix",113,0.586792609365404,1.65314246112298,0.000436549170704793,0.015099189654378,0.0135403664309503,1851,"tags=40%, list=10%, signal=36%","1282/3918/1308/7076/960/4811/1295/4313/4323/2201/4312/5650/3914/4318/7092/84290/1303/1284/1520/1296/50509/5654/4319/1307/825/101/3909/1294/1288/3912/3339/4327/1290/147968/2335/4326/1278/2200/1508/6696/4316/823/649/827/5045"
"R-HSA-199418","Negative regulation of the PI3K/AKT network",95,0.58940763665451,1.63113711247503,0.000454911483176772,0.015099189654378,0.0135403664309503,2628,"tags=34%, list=14%, signal=29%","374/2069/3084/255324/5880/2250/90865/9173/10000/4233/8870/4909/2099/2323/942/7039/2246/3667/1839/5154/627/4254/1956/8660/3556/2534/2263/9542/5155/685/2247/2549"
"R-HSA-2586552","Signaling by Leptin",11,0.876197725274884,1.6973239669619,0.000515266199878926,0.016506921516126,0.0148027656511008,1600,"tags=45%, list=9%, signal=42%","9021/3952/3667/8660/3953"
"R-HSA-1630316","Glycosaminoglycan metabolism",111,0.57518166906464,1.61178032947278,0.000518486637365495,0.016506921516126,0.0148027656511008,2639,"tags=32%, list=14%, signal=28%","960/1462/9956/64131/10331/3037/112937/3038/2331/4166/83539/93010/10402/50515/3339/1464/6382/29940/9060/6385/56548/2817/2131/51363/10090/375790/2132/10678/10855/90161/6483/9957/64132/57214/79586/9469"
"R-HSA-216083","Integrin cell surface interactions",69,0.628824358366018,1.6672076678897,0.000663142835739558,0.0206900564750742,0.0185540384989026,1922,"tags=45%, list=10%, signal=40%","3694/1282/960/1295/3371/3384/3675/3676/3383/1284/7057/1296/50509/1307/3696/1294/3673/1288/3339/3655/1290/2335/1278/2200/3386/6696/3690/3693/3678/3688/375790"
"R-HSA-9830369","Kidney development",39,0.697273072823912,1.69727483776307,0.00070363203534846,0.0211089610604538,0.0189296958497592,2793,"tags=64%, list=15%, signal=55%","2625/3237/3214/2122/130497/10406/9353/2303/2296/7849/182/652/6092/79192/28514/3227/3207/3688/6299/2018/51316/2138/2247/1499/6495"
"R-HSA-446652","Interleukin-1 family signaling",127,0.550117157720444,1.57003654740281,0.000702964478124695,0.0211089610604538,0.0189296958497592,2913,"tags=21%, list=16%, signal=18%","3552/3606/3553/834/6288/11213/90865/8808/9173/56300/79792/4088/3556/8809/3557/121457/351/5784/3656/5782/7850/5783/57162/4791/6885/177/9683"
"R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",88,0.591568600539908,1.62084785212962,0.000733697097284418,0.0215956126747866,0.0193661061030981,2628,"tags=35%, list=14%, signal=30%","374/2069/3084/255324/5880/2250/90865/9173/4233/8870/4909/2099/2323/942/7039/2246/3667/1839/5154/627/4254/1956/8660/3556/2534/2263/9542/5155/685/2247/2549"
"R-HSA-9013404","RAC2 GTPase cycle",83,0.600127275768355,1.62696108251733,0.000770372632724499,0.0222552093898188,0.0199576068009914,4237,"tags=47%, list=23%, signal=36%","857/1535/4162/5880/55619/85360/5058/4810/1794/4688/1969/7074/4168/23075/3688/8826/11135/1829/9732/57584/613/7204/3998/10006/653361/5290/23141/9341/50619/23344/7410/998/10152/81624/5062/7444/10787/396/143098"
"R-HSA-5603041","IRAK4 deficiency (TLR2/4)",15,0.829391906858996,1.72138174319778,0.000924577008516548,0.0262243660597421,0.0235169922357606,2096,"tags=53%, list=11%, signal=47%","6280/6279/7099/7096/23643/7097/10333/929"
"R-HSA-9013423","RAC3 GTPase cycle",85,0.599675298979198,1.63269690250495,0.000947321278967222,0.0263896641998012,0.0236652251832225,4676,"tags=54%, list=25%, signal=41%","857/1535/4162/397/347902/55619/85360/9235/5058/4810/4688/64411/182/1969/7074/4168/23075/3688/11135/116984/1829/27/57584/613/7204/3998/10006/6510/653361/10979/9341/23344/7410/998/10152/81624/5062/7444/10787/143098/10652/4952/392/7879/28964/9743"
"R-HSA-5620971","Pyroptosis",25,0.761266268419444,1.75108405158627,0.00102258900044431,0.0279866463279496,0.025097336686805,2764,"tags=48%, list=15%, signal=41%","8626/3552/3606/3553/834/79792/1687/3659/837/3660/578/29082"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",73,0.599255500246697,1.60593684471912,0.00109173484061303,0.0293639026095918,0.0263324065911926,2710,"tags=42%, list=15%, signal=36%","1308/718/57823/4277/3135/912/3384/54209/3676/3383/22914/100528032/958/9976/1278/3133/3386/8519/135250/3105/3688/10666/3106/3134/3821/3107/100507436/5819/5817/7087/340205"
"R-HSA-2173789","TGF-beta receptor signaling activates SMADs",46,0.67542958785515,1.68388988816236,0.00124580360651761,0.0329398919689401,0.029539214862835,3050,"tags=46%, list=16%, signal=38%","3694/7040/7042/7048/4053/3696/4088/2200/3690/3693/3688/5045/23645/64750/4052/7043/57154/2280/7046/3685/867"
"R-HSA-611105","Respiratory electron transport",154,-0.427032409021746,-1.45643381667688,0.0014332631226707,0.0372648411894382,0.0334176612285852,5773,"tags=54%, list=31%, signal=37%","51300/4700/4728/90871/4726/6391/4704/84300/4724/4712/374291/25915/116228/2395/51103/4711/4715/4191/100131801/4717/80775/4519/51079/137682/3954/1337/10131/6392/7381/54539/493753/4722/4702/9377/4696/4718/2805/4723/1345/7385/4725/54205/9054/84987/29078/4694/1329/1340/440957/10063/100303755/389203/4698/4697/1349/4731/4707/51295/7386/728568/440567/1350/8402/7388/4720/119559/4701/25880/285521/1537/4695/4706/2108/25953/27089/6834/2109/55572/2110/4716/192286/90624/4710"
"R-HSA-2214320","Anchoring fibril formation",15,0.817546276125303,1.69679643881633,0.00153059083435359,0.0391429787146163,0.0351019019647268,1757,"tags=67%, list=9%, signal=60%","1282/3918/3914/7092/1284/3909/1294/1288/1278/649"
"R-HSA-5173105","O-linked glycosylation",94,0.573411942670722,1.58559464654194,0.00158980093590902,0.0400014429035173,0.0358717392839234,3120,"tags=37%, list=17%, signal=31%","11226/11227/10331/11174/374907/55901/84002/93010/79875/7057/10610/7058/9037/10164/140766/283463/79623/79812/339366/84752/2591/10071/79695/4582/92949/374378/10678/256435/6483/171019/2589/9245/27090/56913/94025"
"R-HSA-8874081","MET activates PTK2 signaling",28,0.743021533545865,1.75205458285512,0.0016250550276565,0.0402394578276847,0.0360851818171343,2568,"tags=68%, list=14%, signal=59%","3918/3914/4233/85301/3908/3675/50509/3910/3909/3673/3912/1290/2335/1278/284217/3688/255631/3911/1301"
